"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
390.27	2.6846e-016	5e-006	0	0
390.27	-3.3942e-016	5.1e-006	0	0
390.27	3.8122e-017	5.26e-006	0	0
390.27	5.5653e-017	5.516e-006	0	0
390.27	3.4042e-018	5.9256e-006	0	0
390.28	1.2656e-017	6.581e-006	0	0
390.29	-1.3399e-017	7.6295e-006	0	0
390.3	9.7688e-018	9.3073e-006	0	0
390.32	-1.3076e-017	1.1992e-005	0	0
390.35	5.809e-018	1.6287e-005	0	0
390.4	2.0693e-018	2.3159e-005	0	0
390.56	3.9891e-018	4.3774e-005	0	0
390.73	-2.5174e-018	6.5339e-005	0	0
390.92	6.606e-018	8.7856e-005	0	0
391.11	2.9536e-018	0.00011132	0	0
391.32	-2.5784e-018	0.00013573	0	0
391.54	3.4728e-018	0.00016107	0	0
391.78	5.7996e-018	0.00018732	0	0
392.03	-4.6553e-018	0.00021445	0	0
392.29	5.5701e-018	0.00024243	0	0
392.57	-2.4022e-018	0.00027122	0	0
392.87	4.391e-018	0.00030078	0	0
393.19	7.149e-019	0.00033104	0	0
393.52	-5.2685e-019	0.00036195	0	0
393.88	3.9811e-019	0.00039343	0	0
394.26	4.9975e-019	0.00042543	0	0
394.66	1.5314e-018	0.00045786	0	0
395.08	-6.5391e-019	0.00049063	0	0
395.54	3.7354e-018	0.00052367	0	0
396.02	-4.3283e-018	0.00055687	0	0
396.54	3.7405e-018	0.00059016	0	0
397.1	9.9272e-019	0.00062344	0	0
397.71	7.4878e-019	0.00065661	0	0
398.37	2.3344e-018	0.0006896	0	0
399.09	6.844e-019	0.0007223	0	0
399.94	-1.0164e-018	0.000755	0	0
399.92	-6.5052e-019	0.00075714	3.2632e-005	0
399.87	-5.8276e-019	0.00076352	6.4705e-005	0
399.85	1.7754e-018	0.00077403	9.5671e-005	0
399.84	3.3881e-019	0.00078849	0.000125	0
399.84	-5.8276e-019	0.00080666	0.00015219	0
399.84	-2.5614e-018	0.00082822	0.00017678	0
399.85	-1.6941e-018	0.00085281	0.00019834	0
399.85	4.6079e-019	0.00088	0.00021651	0
399.86	-3.1577e-018	0.00090933	0.00023097	0
399.85	5.15e-019	0.0009403	0.00024148	0
399.86	-3.5508e-018	0.00097237	0.00024786	0
399.87	-6.0173e-018	0.001005	0.00025	0
399.87	-2.0329e-019	0.0010376	0.00024786	0
399.88	4.1064e-018	0.0010697	0.00024148	0
399.88	-2.06e-018	0.0011007	0.00023097	0
399.88	-5.6243e-019	0.00113	0.00021651	0
399.89	2.9545e-018	0.0011572	0.00019834	0
399.89	3.8421e-018	0.0011818	0.00017678	0
399.89	-7.4539e-019	0.0012033	0.00015219	0
399.9	4.3233e-018	0.0012215	0.000125	0
399.9	1.7212e-018	0.001236	9.5671e-005	0
399.92	-4.7298e-018	0.0012465	6.4705e-005	0
399.95	3.8015e-018	0.0012529	3.2632e-005	0
399.97	1.8906e-018	0.001255	0	0
399.45	-1.0046e-018	0.0012877	0	0
399.02	-2.0227e-018	0.0013204	0	0
398.63	3.666e-018	0.0013534	0	0
398.27	1.8974e-019	0.0013866	0	0
397.95	-2.4395e-019	0.0014198	0	0
397.65	-2.7241e-018	0.0014531	0	0
397.38	3.2187e-019	0.0014863	0	0
397.12	2.4581e-018	0.0015194	0	0
396.89	-5.5684e-018	0.0015521	0	0
396.67	4.4029e-018	0.0015846	0	0
396.46	-5.4735e-018	0.0016166	0	0
396.27	-2.3404e-018	0.0016481	0	0
396.08	-6.8728e-018	0.001679	0	0
395.91	3.9811e-018	0.0017092	0	0
395.74	4.7137e-018	0.0017388	0	0
