"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -1.33823081e-04, 3.01586710e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.60897177e-04, 3.01586710e-01, -1.33823081e-04, 0.00000000e+00, -4.43730034e-04, 0.00000000e+00, 0.00000000e+00, -4.46630292e+05, 2.73131265e+08, 0.00000000e+00, -3.51627024e+00, -1.88175575e+01, -2.07128680e+01, 3.06933158e+00, 0.00000000e+00, -8.5347929242, 10.0000000000, 100.0000000000, 0.0010445647
           1, 9.02088763e-06, 7.36431064e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.90299060e-05, 7.36431064e-02, 9.02088763e-06, 0.00000000e+00, 1.22494665e-04, 0.00000000e+00, 0.00000000e+00, -2.06924903e+05, 1.26268743e+08, 0.00000000e+00, -3.66984964e+00, -1.95191109e+00, -3.26725562e+00, 2.54984129e+00, 0.00000000e+00, -8.9662740517, 10.0000000000, 100.1000000000, 0.0029184830
           2, -2.86011882e-04, 2.85390130e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.11617519e-05, 2.85390130e-02, -2.86011882e-04, 0.00000000e+00, -1.00217860e-02, 0.00000000e+00, 0.00000000e+00, -2.03699314e+05, 1.24017667e+08, 0.00000000e+00, -4.06595333e+00, -2.86515376e+00, -4.50540111e+00, 2.28250857e+00, 0.00000000e+00, -9.5582133489, 10.0000000000, 260.6311417234, 0.0038182562
           3, -2.97996645e-03, 1.43887528e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.10321582e-06, 1.43887528e-02, -2.97996645e-03, 0.00000000e+00, -2.07103874e-01, 0.00000000e+00, 0.00000000e+00, -1.62675468e+05, 9.89488088e+07, 0.00000000e+00, -4.27201175e+00, -3.51949118e+00, -3.90666374e+00, 1.98417064e+00, 0.00000000e+00, -10.1300480042, 10.0000000000, 426.4739281517, 0.0047185423
           4, -8.18116568e-03, 4.73889258e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.00881483e-05, 4.73889258e-03, -8.18116568e-03, 0.00000000e+00, -1.72638766e+00, 0.00000000e+00, 0.00000000e+00, -1.09298128e+05, 6.64700805e+07, 0.00000000e+00, -4.17829559e+00, -3.65303630e+00, -3.98213704e+00, 1.96683973e+00, 0.00000000e+00, -10.7619165138, 10.0000000000, 738.8611427830, 0.0056155105
           5, -1.25817758e-02, 2.57767887e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.38506901e-05, 2.57767887e-03, -1.25817758e-02, 0.00000000e+00, -4.88104859e+00, 0.00000000e+00, 0.00000000e+00, -6.78795759e+04, 4.13054554e+07, 0.00000000e+00, -4.10872699e+00, -3.63709481e+00, -4.42344112e+00, 2.02595905e+00, 0.00000000e+00, -11.3231040434, 10.0000000000, 762.8296286926, 0.0067237884
           6, -1.88203404e-02, 3.12048165e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.98727333e-05, 3.12048165e-03, -1.88203404e-02, 0.00000000e+00, -6.03122930e+00, 0.00000000e+00, 0.00000000e+00, -4.29011207e+04, 2.61200998e+07, 0.00000000e+00, -4.21628690e+00, -3.72651853e+00, -4.41667309e+00, 1.91355317e+00, 0.00000000e+00, -12.0518327943, 10.0000000000, 665.7454929239, 0.0076401728
           7, -2.76825191e-02, 3.71476528e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.86854023e-05, 3.71476528e-03, -2.76825191e-02, 0.00000000e+00, -7.45202375e+00, 0.00000000e+00, 0.00000000e+00, -2.93050412e+04, 1.78466453e+07, 0.00000000e+00, -4.15479077e+00, -3.79706068e+00, -4.49123381e+00, 1.95100812e+00, 0.00000000e+00, -12.9383149946, 10.0000000000, 818.9038959648, 0.0085511161
           8, -3.33993223e-02, 2.72176830e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.43396489e-05, 2.72176830e-03, -3.33993223e-02, 0.00000000e+00, -1.22711850e+01, 0.00000000e+00, 0.00000000e+00, -2.35119135e+04, 1.43199847e+07, 0.00000000e+00, -4.13948719e+00, -3.67492550e+00, -4.34341866e+00, 1.96067446e+00, 0.00000000e+00, -13.2148917743, 10.0000000000, 751.2387672073, 0.0094486484
           9, -3.85563616e-02, 2.37113553e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.94605917e-05, 2.37113553e-03, -3.85563616e-02, 0.00000000e+00, -1.62607161e+01, 0.00000000e+00, 0.00000000e+00, -2.14709032e+04, 1.30857980e+07, 0.00000000e+00, -4.18469263e+00, -3.56336435e+00, -4.32640377e+00, 1.91607075e+00, 0.00000000e+00, -13.2404482997, 10.0000000000, 734.7027273058, 0.0103462218
          10, -4.53307551e-02, 3.43747858e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.62376816e-05, 3.43747858e-03, -4.53307551e-02, 0.00000000e+00, -1.31872109e+01, 0.00000000e+00, 0.00000000e+00, -1.96230718e+04, 1.19598163e+07, 0.00000000e+00, -4.26266303e+00, -3.53943066e+00, -4.39972993e+00, 1.83858916e+00, 0.00000000e+00, -13.2151265454, 10.0000000000, 797.6173999111, 0.0112502367
          11, -5.25639435e-02, 4.63426500e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.35063933e-05, 4.63426500e-03, -5.25639435e-02, 0.00000000e+00, -1.13424553e+01, 0.00000000e+00, 0.00000000e+00, -1.77956816e+04, 1.08528965e+07, 0.00000000e+00, -4.25293026e+00, -3.45595129e+00, -4.37039533e+00, 1.84776986e+00, 0.00000000e+00, -13.2080696179, 10.0000000000, 919.9831964283, 0.0124603735
          12, -5.86871769e-02, 4.65815336e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.96603802e-05, 4.65815336e-03, -5.86871769e-02, 0.00000000e+00, -1.25988074e+01, 0.00000000e+00, 0.00000000e+00, -1.66239733e+04, 1.01661182e+07, 0.00000000e+00, -4.25487102e+00, -3.37023407e+00, -4.30141693e+00, 1.84567432e+00, 0.00000000e+00, -13.2243165092, 10.0000000000, 900.7394563137, 0.0133965649
          13, -6.48159916e-02, 4.88076333e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.58193022e-05, 4.88076333e-03, -6.48159916e-02, 0.00000000e+00, -1.32798882e+01, 0.00000000e+00, 0.00000000e+00, -1.82630647e+04, 1.12123792e+07, 0.00000000e+00, -4.32453856e+00, -3.38839610e+00, -4.30107758e+00, 1.78226024e+00, 0.00000000e+00, -13.2447995081, 10.0000000000, 904.2231498237, 0.0142999037
          14, -7.14712656e-02, 5.62179469e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.25157010e-05, 5.62179469e-03, -7.14712656e-02, 0.00000000e+00, -1.27132472e+01, 0.00000000e+00, 0.00000000e+00, -1.72355508e+04, 1.05309848e+07, 0.00000000e+00, -4.39188283e+00, -3.38794612e+00, -4.30552772e+00, 1.71072526e+00, 0.00000000e+00, -13.2579052203, 10.0000000000, 1016.2648116182, 0.0152044786
          15, -7.71221841e-02, 6.10007036e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.82004571e-05, 6.10007036e-03, -7.71221841e-02, 0.00000000e+00, -1.26428352e+01, 0.00000000e+00, 0.00000000e+00, -1.49355054e+04, 9.14475361e+06, 0.00000000e+00, -4.43144795e+00, -3.36112274e+00, -4.25359232e+00, 1.66999557e+00, 0.00000000e+00, -13.2666516385, 10.0000000000, 1159.4042066266, 0.0161029630
          16, -8.09348185e-02, 6.41224850e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.20298093e-05, 6.41224850e-03, -8.09348185e-02, 0.00000000e+00, -1.26219092e+01, 0.00000000e+00, 0.00000000e+00, -1.45536423e+04, 8.91449016e+06, 0.00000000e+00, -4.48122781e+00, -3.34469010e+00, -4.21060553e+00, 1.62081457e+00, 0.00000000e+00, -13.2766725741, 10.0000000000, 1249.7369787578, 0.0169969839
          17, -8.32282635e-02, 7.28567707e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.43322739e-05, 7.28567707e-03, -8.32282635e-02, 0.00000000e+00, -1.14235455e+01, 0.00000000e+00, 0.00000000e+00, -1.38918479e+04, 8.51949776e+06, 0.00000000e+00, -4.55269833e+00, -3.35340774e+00, -4.19274970e+00, 1.54923686e+00, 0.00000000e+00, -13.2855540364, 10.0000000000, 1368.2436027387, 0.0179010437
          18, -8.43530933e-02, 7.97476358e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.54703368e-05, 7.97476358e-03, -8.43530933e-02, 0.00000000e+00, -1.05775040e+01, 0.00000000e+00, 0.00000000e+00, -1.36975494e+04, 8.40662741e+06, 0.00000000e+00, -4.62099376e+00, -3.35620250e+00, -4.20633276e+00, 1.48209494e+00, 0.00000000e+00, -13.2942814682, 10.0000000000, 1561.0815584327, 0.0189809577
          19, -8.47036001e-02, 7.89835248e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.58325583e-05, 7.89835248e-03, -8.47036001e-02, 0.00000000e+00, -1.07242112e+01, 0.00000000e+00, 0.00000000e+00, -1.42312297e+04, 8.73424691e+06, 0.00000000e+00, -4.67388095e+00, -3.35190062e+00, -4.21312824e+00, 1.43447426e+00, 0.00000000e+00, -13.3116833811, 10.0000000000, 1766.6036777397, 0.0198799146
          20, -8.43302637e-02, 7.43472015e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.54594502e-05, 7.43472015e-03, -8.43302637e-02, 0.00000000e+00, -1.13427623e+01, 0.00000000e+00, 0.00000000e+00, -1.46798431e+04, 9.01177729e+06, 0.00000000e+00, -4.71801857e+00, -3.36754408e+00, -4.22991087e+00, 1.39306742e+00, 0.00000000e+00, -13.3404011824, 10.0000000000, 1928.5711587616, 0.0207819043
