"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -8.05342179e+05, 0.00000000e+00, 0.00000000e+00, -3.04653443e+00, 0.0000000000, 100.0000000000, 0.0010445647
           1, -3.43117546e+05, 0.00000000e+00, 0.00000000e+00, -3.59962459e+00, 0.0000000000, 100.1000000000, 0.0029184830
           2, -1.82373344e+05, 0.00000000e+00, 0.00000000e+00, -4.13715524e+00, 0.0000000000, 277.2721219107, 0.0038182562
           3, -8.52636518e+04, 0.00000000e+00, 0.00000000e+00, -4.35534549e+00, 0.0000000000, 746.3296956319, 0.0047185423
           4, -2.69377429e+04, 0.00000000e+00, 0.00000000e+00, -4.49744485e+00, 0.0000000000, 1115.5342964598, 0.0056155105
           5, -1.06026899e+04, 0.00000000e+00, 0.00000000e+00, -4.86697559e+00, 0.0000000000, 1449.3137432073, 0.0067237884
           6, -8.51871856e+03, 0.00000000e+00, 0.00000000e+00, -5.20688476e+00, 0.0000000000, 2862.7735888038, 0.0076401728
           7, -7.65624515e+03, 0.00000000e+00, 0.00000000e+00, -5.38796498e+00, 0.0000000000, 5354.4434930748, 0.0085511161
           8, -9.91231487e+03, 0.00000000e+00, 0.00000000e+00, -5.35011499e+00, 0.0000000000, 7474.4374824071, 0.0094486484
           9, -1.65978065e+04, 0.00000000e+00, 0.00000000e+00, -5.32347187e+00, 0.0000000000, 6850.5986769203, 0.0103462218
          10, -1.53610191e+04, 0.00000000e+00, 0.00000000e+00, -5.63729621e+00, 0.0000000000, 6442.9595114208, 0.0112502367
          11, -8.78334194e+03, 0.00000000e+00, 0.00000000e+00, -5.61596914e+00, 0.0000000000, 11485.3670735241, 0.0124603735
          12, -1.59045278e+03, 0.00000000e+00, 0.00000000e+00, -5.47411252e+00, 0.0000000000, 10934.9753180104, 0.0133965649
          13, -1.80994146e+04, 0.00000000e+00, 0.00000000e+00, -5.04351222e+00, 0.0000000000, 7887.8962749356, 0.0142999037
          14, -1.69334125e+04, 0.00000000e+00, 0.00000000e+00, -5.47680549e+00, 0.0000000000, 2926.5832896987, 0.0152044786
          15, -8.14503496e+03, 0.00000000e+00, 0.00000000e+00, -5.37931463e+00, 0.0000000000, 6501.2296104383, 0.0161029630
          16, -1.29141560e+04, 0.00000000e+00, 0.00000000e+00, -5.45652493e+00, 0.0000000000, 5194.0322127325, 0.0169969839
          17, -1.05625313e+04, 0.00000000e+00, 0.00000000e+00, -5.56294834e+00, 0.0000000000, 5987.8772141158, 0.0179010437
          18, -8.22577251e+03, 0.00000000e+00, 0.00000000e+00, -5.55992638e+00, 0.0000000000, 7284.6989239036, 0.0189809577
          19, -9.72610863e+03, 0.00000000e+00, 0.00000000e+00, -5.45923094e+00, 0.0000000000, 7234.1856009004, 0.0198799146
          20, -1.24610612e+04, 0.00000000e+00, 0.00000000e+00, -5.52363130e+00, 0.0000000000, 5737.1237023830, 0.0207819043
          21, -9.29987525e+03, 0.00000000e+00, 0.00000000e+00, -5.58313656e+00, 0.0000000000, 6459.7320114776, 0.0216772164
          22, -7.93677458e+03, 0.00000000e+00, 0.00000000e+00, -5.56285811e+00, 0.0000000000, 7208.0652758260, 0.0225773238
          23, -9.49569639e+03, 0.00000000e+00, 0.00000000e+00, -5.49690918e+00, 0.0000000000, 6879.2367637427, 0.0234719750
          24, -1.07684820e+04, 0.00000000e+00, 0.00000000e+00, -5.57202823e+00, 0.0000000000, 5910.0523263715, 0.0243694911
          25, -8.12046939e+03, 0.00000000e+00, 0.00000000e+00, -5.61094005e+00, 0.0000000000, 6787.1362320920, 0.0252627969
          26, -7.57019638e+03, 0.00000000e+00, 0.00000000e+00, -5.55734438e+00, 0.0000000000, 7291.4856766076, 0.0261565803
          27, -9.85136637e+03, 0.00000000e+00, 0.00000000e+00, -5.52138726e+00, 0.0000000000, 6444.9618154980, 0.0270555661
          28, -1.00085411e+04, 0.00000000e+00, 0.00000000e+00, -5.63029251e+00, 0.0000000000, 5932.8481733925, 0.0279487384
          29, -7.14113843e+03, 0.00000000e+00, 0.00000000e+00, -5.64703628e+00, 0.0000000000, 7250.8252059962, 0.0288410468
          30, -7.48635633e+03, 0.00000000e+00, 0.00000000e+00, -5.54636199e+00, 0.0000000000, 7477.9481906131, 0.0297333655
          31, -1.08045423e+04, 0.00000000e+00, 0.00000000e+00, -5.54150265e+00, 0.0000000000, 5930.7300723114, 0.0306252053
          32, -9.21010470e+03, 0.00000000e+00, 0.00000000e+00, -5.67120663e+00, 0.0000000000, 5864.7407331016, 0.0315187196
          33, -6.33480995e+03, 0.00000000e+00, 0.00000000e+00, -5.67557225e+00, 0.0000000000, 7447.5255204756, 0.0324057404
          34, -7.32022375e+03, 0.00000000e+00, 0.00000000e+00, -5.54345634e+00, 0.0000000000, 7507.6582495997, 0.0332952261
          35, -1.07875534e+04, 0.00000000e+00, 0.00000000e+00, -5.57498809e+00, 0.0000000000, 5538.4544563245, 0.0341865662
          36, -8.51703360e+03, 0.00000000e+00, 0.00000000e+00, -5.68191346e+00, 0.0000000000, 5869.6740587338, 0.0350755339
          37, -6.46034847e+03, 0.00000000e+00, 0.00000000e+00, -5.70245421e+00, 0.0000000000, 7147.5020178076, 0.0359671297
          38, -7.00691684e+03, 0.00000000e+00, 0.00000000e+00, -5.59918210e+00, 0.0000000000, 7423.1268901089, 0.0368672225
          39, -9.68374313e+03, 0.00000000e+00, 0.00000000e+00, -5.61703792e+00, 0.0000000000, 5852.1409163486, 0.0377615707
          40, -8.05722489e+03, 0.00000000e+00, 0.00000000e+00, -5.73082480e+00, 0.0000000000, 6047.8280152139, 0.0386531297
          41, -5.92681829e+03, 0.00000000e+00, 0.00000000e+00, -5.73173754e+00, 0.0000000000, 7458.1126256692, 0.0395483456
          42, -6.80657969e+03, 0.00000000e+00, 0.00000000e+00, -5.60757606e+00, 0.0000000000, 7470.6626340037, 0.0405467799
          43, -9.33184318e+03, 0.00000000e+00, 0.00000000e+00, -5.65518902e+00, 0.0000000000, 5613.0336330362, 0.0415268672
          44, -7.31942956e+03, 0.00000000e+00, 0.00000000e+00, -5.74501357e+00, 0.0000000000, 6127.5662104657, 0.0424281322
          45, -5.85156327e+03, 0.00000000e+00, 0.00000000e+00, -5.74924539e+00, 0.0000000000, 7230.1557711335, 0.0433190933
          46, -6.53092341e+03, 0.00000000e+00, 0.00000000e+00, -5.65522416e+00, 0.0000000000, 7286.7373274591, 0.0442183424
          47, -8.46521674e+03, 0.00000000e+00, 0.00000000e+00, -5.69459743e+00, 0.0000000000, 5868.2941821067, 0.0453060866
          48, -7.07607827e+03, 0.00000000e+00, 0.00000000e+00, -5.79711772e+00, 0.0000000000, 6309.7259478978, 0.0462039778
          49, -5.63214934e+03, 0.00000000e+00, 0.00000000e+00, -5.78306745e+00, 0.0000000000, 7621.2591594415, 0.0470968436
          50, -6.74690447e+03, 0.00000000e+00, 0.00000000e+00, -5.66683417e+00, 0.0000000000, 7378.6422182881, 0.0479883188
