"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
947, 1.262548073806896e-03, 9.662654861260218e-04, 3.993974667817196e+02, 1.280376571530257e+01, 4.720749795251902e-02, -1.258267043735554e-02, -8.146647203908225e+05
948, 1.247262279803783e-03, 9.702107955409864e-04, 3.974082008479103e+02, 1.273999441708388e+01, 5.904043542084138e-02, -1.474243592361368e-02, -8.429450990347179e+05
949, 1.231916108961590e-03, 9.739143080855379e-04, 3.954100485226668e+02, 1.267593824156014e+01, 7.168537499987392e-02, -1.670225627591400e-02, -8.723298430925669e+05
950, 1.216513385867819e-03, 9.773751007667072e-04, 3.934178171540653e+02, 1.261207187831105e+01, 8.509242435546907e-02, -1.841482023944277e-02, -9.027133399563613e+05
951, 1.201057949203978e-03, 9.805923110824042e-04, 3.914466551248900e+02, 1.254888094970595e+01, 9.920193610022851e-02, -1.983426540169923e-02, -9.339546247987293e+05
952, 1.185553650788902e-03, 9.835651372363699e-04, 3.895118652125617e+02, 1.248685602765175e+01, 1.139458362887227e-01, -2.091710650901091e-02, -9.658900012961028e+05
953, 1.170004354618799e-03, 9.862928383380027e-04, 3.876287223547023e+02, 1.242648679157531e+01, 1.292490765877611e-01, -2.162305112483399e-02, -9.983417100217278e+05
954, 1.154413935904261e-03, 9.887747345870025e-04, 3.858123088351645e+02, 1.236825674486602e+01, 1.450311349649923e-01, -2.191568205151618e-02, -1.031130012116708e+06
955, 1.138786280104479e-03, 9.910102074427922e-04, 3.840773676545980e+02, 1.231263851427283e+01, 1.612074490679655e-01, -2.176298969875317e-02, -1.064079986445004e+06
956, 1.123125281958908e-03, 9.929986997786696e-04, 3.824381668537561e+02, 1.226008950042095e+01, 1.776907193445959e-01, -2.113775811462718e-02, -1.097026547397094e+06
957, 1.107434844516613e-03, 9.947397160206570e-04, 3.809083629761227e+02, 1.221104750073725e+01, 1.943921281058703e-01, -2.001782687177271e-02, -1.129819009110932e+06
958, 1.091718878163551e-03, 9.962328222710068e-04, 3.795008712252339e+02, 1.216592654699207e+01, 2.112225543181480e-01, -1.838624721433660e-02, -1.162321808512988e+06
959, 1.075981299648016e-03, 9.974776464163387e-04, 3.782277608627866e+02, 1.212511355200277e+01, 2.280937503036660e-01, -1.623133199657157e-02, -1.194416366195601e+06
960, 1.060226031104508e-03, 9.984738782203787e-04, 3.771001813128397e+02, 1.208896594070414e+01, 2.449193355777177e-01, -1.354659660082344e-02, -1.226000807616191e+06
961, 1.044456999076253e-03, 9.992212694012756e-04, 3.761283031551661e+02, 1.205780975853067e+01, 2.616155137996566e-01, -1.033060784676228e-02, -1.256988366853492e+06
