"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
1.3151	3.2641e-015	5e-006	0	0
1.3341	3.9771e-015	0.002005	0	0
1.3341	5.6727e-015	0.0020049	1.5786e-005	0
1.3341	7.0593e-015	0.0020045	3.1569e-005	0
1.3341	6.1529e-015	0.0020039	4.7343e-005	0
1.3341	6.4209e-015	0.002003	6.3106e-005	0
1.3342	6.5506e-015	0.0020019	7.8853e-005	0
1.3342	6.3072e-015	0.0020005	9.458e-005	0
1.3342	6.2645e-015	0.0019989	0.00011028	0
1.3343	6.4334e-015	0.001997	0.00012596	0
1.3343	6.5325e-015	0.0019949	0.0001416	0
1.3344	6.5553e-015	0.0019926	0.00015721	0
1.3345	6.7154e-015	0.00199	0.00017278	0
1.3345	6.6787e-015	0.0019871	0.00018831	0
1.3346	5.9103e-015	0.001984	0.00020379	0
1.3347	7.8945e-015	0.0019807	0.00021922	0
1.3348	6.7211e-015	0.0019771	0.0002346	0
1.3348	7.2135e-015	0.0019733	0.00024991	0
1.3349	6.8605e-015	0.0019692	0.00026517	0
1.335	7.0771e-015	0.0019649	0.00028036	0
1.3351	7.556e-015	0.0019604	0.00029547	0
1.3352	7.8227e-015	0.0019556	0.00031052	0
1.3353	7.4221e-015	0.0019505	0.00032549	0
1.3354	7.9333e-015	0.0019453	0.00034037	0
1.3355	7.2264e-015	0.0019398	0.00035517	0
1.3355	7.4173e-015	0.0019341	0.00036989	0
1.3356	7.4945e-015	0.0019281	0.00038451	0
1.3357	7.6189e-015	0.0019219	0.00039903	0
1.3358	7.6933e-015	0.0019155	0.00041346	0
1.3359	8.0736e-015	0.0019089	0.00042778	0
1.3359	8.0201e-015	0.001902	0.00044199	0
1.336	7.7048e-015	0.0018949	0.0004561	0
1.336	7.3547e-015	0.0018876	0.00047009	0
1.336	8.9935e-015	0.0018801	0.00048397	0
1.3361	7.6398e-015	0.0018723	0.00049772	0
1.3361	8.4006e-015	0.0018644	0.00051135	0
1.3361	7.8437e-015	0.0018562	0.00052485	0
1.3361	7.8738e-015	0.0018478	0.00053822	0
1.336	8.1285e-015	0.0018392	0.00055146	0
1.336	8.254e-015	0.0018304	0.00056456	0
1.336	8.1581e-015	0.0018214	0.00057752	0
1.3359	7.951e-015	0.0018122	0.00059034	0
1.3359	7.8073e-015	0.0018027	0.00060301	0
1.3359	7.8036e-015	0.0017931	0.00061552	0
1.3358	7.8482e-015	0.0017833	0.00062789	0
1.3358	7.8521e-015	0.0017733	0.0006401	0
1.3358	7.8494e-015	0.0017631	0.00065214	0
1.3358	7.8017e-015	0.0017527	0.00066403	0
1.3357	6.7793e-015	0.0017421	0.00067575	0
1.3357	8.6874e-015	0.0017314	0.0006873	0
1.3357	7.478e-015	0.0017204	0.00069869	0
1.3357	7.936e-015	0.0017093	0.00070989	0
1.3357	7.6265e-015	0.001698	0.00072092	0
1.3357	7.8166e-015	0.0016865	0.00073177	0
1.3358	8.2195e-015	0.0016749	0.00074244	0
1.3358	8.4248e-015	0.0016631	0.00075292	0
1.3358	8.5344e-015	0.0016511	0.00076322	0
1.3357	8.6061e-015	0.001639	0.00077332	0
1.3357	8.6613e-015	0.0016267	0.00078324	0
1.3357	8.7841e-015	0.0016143	0.00079295	0
1.3356	8.8883e-015	0.0016017	0.00080247	0
1.3356	8.7786e-015	0.0015889	0.00081179	0
1.3355	8.7576e-015	0.0015761	0.00082091	0
1.3354	8.804e-015	0.001563	0.00082982	0
1.3352	7.9494e-015	0.0015499	0.00083853	0
1.3351	9.5913e-015	0.0015366	0.00084702	0
1.3349	8.5245e-015	0.0015231	0.00085531	0
1.3348	8.7104e-015	0.0015095	0.00086338	0
1.3346	8.2741e-015	0.0014959	0.00087124	0
1.3344	8.1595e-015	0.001482	0.00087888	0
1.3342	7.9391e-015	0.0014681	0.0008863	0
1.334	7.9741e-015	0.0014541	0.0008935	0
1.3338	8.4355e-015	0.0014399	0.00090048	0
1.3336	8.8609e-015	0.0014256	0.00090723	0
1.3333	8.9531e-015	0.0014113	0.00091376	0
1.3331	8.9205e-015	0.0013968	0.00092006	0
1.3329	8.9073e-015	0.0013822	0.00092613	0
1.3327	8.7929e-015	0.0013675	0.00093197	0
1.3324	8.4214e-015	0.0013528	0.00093758	0
1.3322	7.7775e-015	0.0013379	0.00094295	0
1.332	7.3897e-015	0.001323	0.00094809	0
1.3318	7.1196e-015	0.001308	0.00095299	0
1.3315	7.0529e-015	0.0012929	0.00095765	0
1.3313	7.5022e-015	0.0012778	0.00096208	0
1.331	6.5075e-015	0.0012625	0.00096627	0
1.3308	8.1887e-015	0.0012473	0.00097021	0
1.3305	7.1832e-015	0.0012319	0.00097391	0
1.3303	7.298e-015	0.0012165	0.00097738	0
1.33	7.0671e-015	0.0012011	0.00098059	0
1.3298	7.1148e-015	0.0011856	0.00098357	0
1.3295	7.5059e-015	0.00117	0.00098629	0
1.3292	7.6353e-015	0.0011544	0.00098877	0
1.329	7.544e-015	0.0011388	0.00099101	0
1.3287	7.4663e-015	0.0011231	0.000993	0
1.3284	7.3534e-015	0.0011074	0.00099474	0
1.3282	7.0683e-015	0.0010917	0.00099623	0
1.3279	6.7307e-015	0.001076	0.00099748	0
1.3277	6.7843e-015	0.0010602	0.00099847	0
1.3274	7.2445e-015	0.0010445	0.00099922	0
1.3271	6.798e-015	0.0010287	0.00099972	0
1.3269	8.566e-015	0.0010129	0.00099997	0
1.3266	7.567e-015	0.00099711	0.00099997	0
1.3264	7.6452e-015	0.00098132	0.00099972	0
1.3261	7.7694e-015	0.00096554	0.00099922	0
1.3258	7.8531e-015	0.00094977	0.00099847	0
1.3256	7.8533e-015	0.00093402	0.00099748	0
1.3254	7.8273e-015	0.00091828	0.00099623	0
1.3251	7.7929e-015	0.00090257	0.00099474	0
1.3249	7.7735e-015	0.00088687	0.000993	0
1.3246	7.7677e-015	0.00087121	0.00099101	0
1.3244	7.7808e-015	0.00085559	0.00098877	0
1.3242	7.8321e-015	0.00084	0.00098629	0
1.3239	7.8183e-015	0.00082445	0.00098357	0
1.3237	7.8301e-015	0.00080894	0.00098059	0
1.3235	7.8115e-015	0.00079349	0.00097738	0
1.3233	7.7631e-015	0.00077808	0.00097391	0
1.323	7.7268e-015	0.00076274	0.00097021	0
1.3228	7.6899e-015	0.00074745	0.00096627	0
1.3226	7.6687e-015	0.00073223	0.00096208	0
1.3224	7.6462e-015	0.00071708	0.00095765	0
1.3222	7.6112e-015	0.00070199	0.00095299	0
1.322	7.5693e-015	0.00068699	0.00094809	0
1.3218	7.4702e-015	0.00067206	0.00094295	0
1.3216	6.887e-015	0.00065722	0.00093758	0
1.3214	7.4412e-015	0.00064246	0.00093197	0
1.3212	7.1206e-015	0.00062779	0.00092613	0
1.3211	7.515e-015	0.00061322	0.00092006	0
1.3209	7.4234e-015	0.00059874	0.00091376	0
1.3207	7.477e-015	0.00058437	0.00090723	0
1.3205	6.3689e-015	0.0005701	0.00090048	0
1.3204	7.9503e-015	0.00055594	0.0008935	0
1.3202	5.4331e-015	0.00054189	0.0008863	0
1.32	6.409e-015	0.00052796	0.00087888	0
