"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"Temperature"	"Nu_Tilde"	"Residual_Pressure"	"Residual_Velocity:0"	"Residual_Velocity:1"	"Residual_Velocity:2"	"Residual_Temperature"	"Residual_Nu_Tilde"	"Pressure_Coefficient"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Thermal_Conductivity"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
429.29	-0.060242	8.5634e-005	0	322.23	2.8178e-006	-1.1022e-012	-5.0261e-012	8.0792e-012	0	-4.9032e-005	4.3242e-020	13.762	0.001003	0	0	0	0	0	0.00016348	1.3596	1	0	0.0022	0	0
429.47	-0.060188	0.00053793	0	322.23	2.8178e-006	-9.5019e-013	-3.4073e-012	7.0344e-012	0	-3.229e-005	1.8514e-020	13.768	0.001003	0	0	0	0	0	0.00016336	1.3591	1	1.5e-006	0.0022	1.5e-006	0
429.66	-0.060133	0.00099529	0	322.22	2.8178e-006	-7.9802e-013	-1.781e-012	5.9558e-012	0	-1.555e-005	-5.2529e-021	13.774	0.001003	0	0	0	0	0	0.00016346	1.3595	1	3e-006	0.0022	3e-006	0
429.84	-0.060078	0.0014528	0	322.21	2.8177e-006	-6.4584e-013	-1.5459e-013	4.8762e-012	0	1.1895e-006	-2.8994e-020	13.78	0.001003	0	0	0	0	0	0.00016356	1.36	1	4.5e-006	0.0022	4.5e-006	0
430.02	-0.060022	0.0019103	0	322.2	2.8176e-006	-4.9367e-013	1.4718e-012	3.7967e-012	0	1.793e-005	-5.2735e-020	13.786	0.001003	0	0	0	0	0	0.00016366	1.3605	1	6e-006	0.0022	6e-006	0
430.21	-0.059967	0.0023678	0	322.2	2.8176e-006	-3.4149e-013	3.0983e-012	2.7172e-012	0	3.4669e-005	-7.6476e-020	13.792	0.001003	0	0	0	0	0	0.00016376	1.3609	1	7.5e-006	0.0022	7.5e-006	0
430.39	-0.059912	0.0028253	0	322.19	2.8175e-006	-1.8931e-013	4.7247e-012	1.6376e-012	0	5.1409e-005	-1.0022e-019	13.797	0.001003	0	0	0	0	0	0.00016386	1.3614	1	9e-006	0.0022	9e-006	0
430.36	-0.059858	0.0033037	0	322.19	2.8174e-006	-2.1669e-013	4.692e-012	1.1519e-012	0	4.8133e-005	-1.1637e-019	13.796	0.001003	0	0	0	0	0	0.00016377	1.361	1	1.05e-005	0.0022	1.05e-005	0
430.27	-0.059805	0.0037873	0	322.18	2.8174e-006	-2.8766e-013	4.2564e-012	8.1035e-013	0	3.9998e-005	-1.3067e-019	13.793	0.001003	0	0	0	0	0	0.00016364	1.3604	1	1.2e-005	0.0022	1.2e-005	0
430.18	-0.059752	0.0042708	0	322.18	2.8173e-006	-3.5863e-013	3.8209e-012	4.688e-013	0	3.1863e-005	-1.4498e-019	13.791	0.001003	0	0	0	0	0	0.00016351	1.3598	1	1.35e-005	0.0022	1.35e-005	0
430.09	-0.059698	0.0047544	0	322.18	2.8172e-006	-4.2959e-013	3.3853e-012	1.2724e-013	0	2.3727e-005	-1.5928e-019	13.788	0.001003	0	0	0	0	0	0.00016339	1.3592	1	1.5e-005	0.0022	1.5e-005	0
430	-0.059645	0.0052379	0	322.17	2.8171e-006	-5.0056e-013	2.9498e-012	-2.1431e-013	0	1.5592e-005	-1.7359e-019	13.785	0.001003	0	0	0	0	0	0.00016326	1.3586	1	1.65e-005	0.0022	1.65e-005	0
429.91	-0.059588	0.0057181	0	322.17	2.817e-006	-5.7351e-013	2.5168e-012	-5.4683e-013	0	7.4546e-006	-1.8796e-019	13.782	0.001003	0	0	0	0	0	0.00016326	1.3586	1	1.8e-005	0.0022	1.8e-005	0
429.88	-0.059527	0.00619	0	322.17	2.8169e-006	-5.9587e-013	2.2466e-012	-3.4846e-013	0	3.7648e-006	-1.8367e-019	13.781	0.001003	0	0	0	0	0	0.00016322	1.3584	1	1.95e-005	0.0022	1.95e-005	0
429.89	-0.059463	0.0066589	0	322.17	2.8167e-006	-5.7082e-013	2.0824e-012	2.2281e-013	0	3.6999e-006	-1.6499e-019	13.781	0.001003	0	0	0	0	0	0.00016316	1.3581	1	2.1e-005	0.0022	2.1e-005	0
429.9	-0.059398	0.0071307	0	322.16	2.8165e-006	-5.3829e-013	1.8822e-012	7.1515e-013	0	3.634e-006	-1.4755e-019	13.782	0.001003	0	0	0	0	0	0.00016323	1.3585	1	2.25e-005	0.0022	2.25e-005	0
429.92	-0.059334	0.0076025	0	322.16	2.8163e-006	-5.0576e-013	1.682e-012	1.2075e-012	0	3.5682e-006	-1.3011e-019	13.782	0.001003	0	0	0	0	0	0.0001633	1.3588	1	2.4e-005	0.0022	2.4e-005	0
429.93	-0.059269	0.0080743	0	322.15	2.8161e-006	-4.7323e-013	1.4819e-012	1.6998e-012	0	3.5023e-006	-1.1266e-019	13.783	0.001003	0	0	0	0	0	0.00016337	1.3591	1	2.55e-005	0.0022	2.55e-005	0
