"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.51627024e+00, -1.88175575e+01, -2.07128680e+01, 3.06933158e+00, 0.00000000e+00, -8.5347929242, 10.0000000000, 100.0000000000, 0.0010959631
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.66984964e+00, -1.95191109e+00, -3.26725562e+00, 2.54984144e+00, 0.00000000e+00, -8.9662740517, 10.0000000000, 100.1000000000, 0.0020715492
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.06595333e+00, -2.86515376e+00, -4.50540111e+00, 2.28250860e+00, 0.00000000e+00, -9.5582133489, 10.0000000000, 260.6310722582, 0.0030003543
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.27201177e+00, -3.51949118e+00, -3.90666382e+00, 1.98406201e+00, 0.00000000e+00, -10.1300480037, 10.0000000000, 426.4739033450, 0.0039013061
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.17829580e+00, -3.65303616e+00, -3.98213666e+00, 1.96690065e+00, 0.00000000e+00, -10.7619164998, 10.0000000000, 739.0090024479, 0.0048034292
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.10871498e+00, -3.63708254e+00, -4.42342377e+00, 2.02690719e+00, 0.00000000e+00, -11.3231044078, 10.0000000000, 762.7440366293, 0.0057234391
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.21629561e+00, -3.72652848e+00, -4.41668182e+00, 1.91588123e+00, 0.00000000e+00, -12.0518340912, 10.0000000000, 664.3122822763, 0.0067702678
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.15499385e+00, -3.79719627e+00, -4.49150321e+00, 1.95289494e+00, 0.00000000e+00, -12.9382921846, 10.0000000000, 815.0665136239, 0.0076879680
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.14005461e+00, -3.67568947e+00, -4.34405204e+00, 1.96225640e+00, 0.00000000e+00, -13.2153955757, 10.0000000000, 748.4785156033, 0.0085870903
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.18510980e+00, -3.56418810e+00, -4.32692333e+00, 1.91472038e+00, 0.00000000e+00, -13.2406451487, 10.0000000000, 732.5172889954, 0.0094858994
