"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -8.05352479e+05, 0.00000000e+00, 0.00000000e+00, -3.09046278e+00, 0.0000000000, 100.0000000000, 0.0010959631
           1, -3.43094974e+05, 0.00000000e+00, 0.00000000e+00, -3.64940446e+00, 0.0000000000, 100.1000000000, 0.0020715492
           2, -1.81677248e+05, 0.00000000e+00, 0.00000000e+00, -4.16588443e+00, 0.0000000000, 280.2769743462, 0.0030003543
           3, -8.12969007e+04, 0.00000000e+00, 0.00000000e+00, -4.39897347e+00, 0.0000000000, 725.7238480703, 0.0039013061
           4, -1.94632604e+04, 0.00000000e+00, 0.00000000e+00, -4.55733377e+00, 0.0000000000, 1114.9172282055, 0.0048034292
           5, -9.95672752e+02, 0.00000000e+00, 0.00000000e+00, -5.01189720e+00, 0.0000000000, 1492.5567893066, 0.0057234391
           6, 5.22113909e+02, 0.00000000e+00, 0.00000000e+00, -5.79536096e+00, 0.0000000000, 3448.1139479002, 0.0067702678
           7, -4.19774131e+03, 0.00000000e+00, 0.00000000e+00, -5.82914706e+00, 0.0000000000, 14599.9920851285, 0.0076879680
           8, -3.65456042e+03, 0.00000000e+00, 0.00000000e+00, -6.06456482e+00, 0.0000000000, 15537.5128002864, 0.0085870903
           9, -2.48811340e+03, 0.00000000e+00, 0.00000000e+00, -5.87777543e+00, 0.0000000000, 23972.6314596960, 0.0094858994
          10, -6.95474496e+03, 0.00000000e+00, 0.00000000e+00, -5.46308792e+00, 0.0000000000, 15592.8792178214, 0.0103872590
          11, -9.19133028e+03, 0.00000000e+00, 0.00000000e+00, -5.80877237e+00, 0.0000000000, 6001.2097637201, 0.0112971862
          12, -6.80192681e+03, 0.00000000e+00, 0.00000000e+00, -5.67139900e+00, 0.0000000000, 11344.5264074411, 0.0122038709
          13, -4.43608783e+03, 0.00000000e+00, 0.00000000e+00, -5.90519810e+00, 0.0000000000, 8268.2385880433, 0.0131011280
          14, -5.39370398e+03, 0.00000000e+00, 0.00000000e+00, -6.36000358e+00, 0.0000000000, 12718.9798757306, 0.0139951589
          15, -3.61551317e+03, 0.00000000e+00, 0.00000000e+00, -6.62508215e+00, 0.0000000000, 29396.5700229863, 0.0148993218
          16, -3.69986336e+03, 0.00000000e+00, 0.00000000e+00, -5.90915485e+00, 0.0000000000, 47902.6477042821, 0.0158064245
          17, -7.87109358e+03, 0.00000000e+00, 0.00000000e+00, -5.81577337e+00, 0.0000000000, 9213.6608282760, 0.0166984368
          18, -3.65880645e+03, 0.00000000e+00, 0.00000000e+00, -5.66020529e+00, 0.0000000000, 7431.0594063462, 0.0176026539
          19, -4.64267878e+03, 0.00000000e+00, 0.00000000e+00, -6.21703211e+00, 0.0000000000, 5193.7693192609, 0.0185127123
          20, -4.14127580e+03, 0.00000000e+00, 0.00000000e+00, -6.85988858e+00, 0.0000000000, 14485.8542238031, 0.0194170012
          21, -3.81748469e+03, 0.00000000e+00, 0.00000000e+00, -6.35165978e+00, 0.0000000000, 47340.1130123894, 0.0203137877
          22, -5.60776131e+03, 0.00000000e+00, 0.00000000e+00, -6.10262311e+00, 0.0000000000, 14689.2792895689, 0.0212096697
          23, -4.32940059e+03, 0.00000000e+00, 0.00000000e+00, -6.09790471e+00, 0.0000000000, 8278.7319189046, 0.0221026575
          24, -4.20715611e+03, 0.00000000e+00, 0.00000000e+00, -6.86525259e+00, 0.0000000000, 8189.2742707157, 0.0230009362
          25, -3.98640805e+03, 0.00000000e+00, 0.00000000e+00, -7.10491334e+00, 0.0000000000, 33660.7445498245, 0.0239136013
          26, -3.95390316e+03, 0.00000000e+00, 0.00000000e+00, -6.62631605e+00, 0.0000000000, 52342.2418133138, 0.0248067422
          27, -3.97911341e+03, 0.00000000e+00, 0.00000000e+00, -6.47508489e+00, 0.0000000000, 17388.2163904494, 0.0257053295
          28, -4.13149340e+03, 0.00000000e+00, 0.00000000e+00, -6.47125608e+00, 0.0000000000, 12275.0671348932, 0.0265992661
          29, -3.53097128e+03, 0.00000000e+00, 0.00000000e+00, -5.89738565e+00, 0.0000000000, 12167.3238179191, 0.0274976227
          30, -3.96102763e+03, 0.00000000e+00, 0.00000000e+00, -5.89201848e+00, 0.0000000000, 3245.8214943538, 0.0283841322
          31, -3.83931923e+03, 0.00000000e+00, 0.00000000e+00, -6.69211039e+00, 0.0000000000, 3205.9552768002, 0.0292822893
          32, -3.69255379e+03, 0.00000000e+00, 0.00000000e+00, -6.96532991e+00, 0.0000000000, 13996.8719817413, 0.0301881375
          33, -4.05934792e+03, 0.00000000e+00, 0.00000000e+00, -7.06636752e+00, 0.0000000000, 23152.9644521007, 0.0310828835
          34, -4.02869455e+03, 0.00000000e+00, 0.00000000e+00, -6.24479075e+00, 0.0000000000, 27889.2410506910, 0.0319737134
          35, -3.39849912e+03, 0.00000000e+00, 0.00000000e+00, -6.05775693e+00, 0.0000000000, 4205.9094557121, 0.0328716206
          36, -3.73477382e+03, 0.00000000e+00, 0.00000000e+00, -6.47265943e+00, 0.0000000000, 2734.1737211203, 0.0337612273
          37, -3.59743332e+03, 0.00000000e+00, 0.00000000e+00, -6.84550914e+00, 0.0000000000, 5871.4870434002, 0.0346615178
          38, -3.34116919e+03, 0.00000000e+00, 0.00000000e+00, -6.91093985e+00, 0.0000000000, 11668.8449743030, 0.0355626668
          39, -4.00091579e+03, 0.00000000e+00, 0.00000000e+00, -6.56522555e+00, 0.0000000000, 13163.5321735581, 0.0364568793
          40, -3.25361258e+03, 0.00000000e+00, 0.00000000e+00, -6.30032128e+00, 0.0000000000, 5938.2453547006, 0.0373522962
          41, -3.65473132e+03, 0.00000000e+00, 0.00000000e+00, -6.59097630e+00, 0.0000000000, 3226.6649315483, 0.0382474566
          42, -3.47478243e+03, 0.00000000e+00, 0.00000000e+00, -6.79105662e+00, 0.0000000000, 5511.6024177073, 0.0391492542
          43, -3.27972565e+03, 0.00000000e+00, 0.00000000e+00, -6.87898710e+00, 0.0000000000, 7967.8681545745, 0.0401310588
          44, -3.14485731e+03, 0.00000000e+00, 0.00000000e+00, -6.69024314e+00, 0.0000000000, 9368.8551241088, 0.0412010621
          45, -3.53125983e+03, 0.00000000e+00, 0.00000000e+00, -6.55941148e+00, 0.0000000000, 6066.5609174655, 0.0421439501
          46, -3.43284559e+03, 0.00000000e+00, 0.00000000e+00, -6.78059429e+00, 0.0000000000, 4488.6000558517, 0.0430348329
          47, -3.15215865e+03, 0.00000000e+00, 0.00000000e+00, -6.76320175e+00, 0.0000000000, 6746.1680078382, 0.0439300005
          48, -3.26434220e+03, 0.00000000e+00, 0.00000000e+00, -6.71293727e+00, 0.0000000000, 6481.3372083608, 0.0448275025
          49, -3.33405477e+03, 0.00000000e+00, 0.00000000e+00, -6.80058462e+00, 0.0000000000, 5772.9811141220, 0.0457233900
          50, -3.15586326e+03, 0.00000000e+00, 0.00000000e+00, -6.81060934e+00, 0.0000000000, 6784.5026805189, 0.0466169926
          51, -3.16744313e+03, 0.00000000e+00, 0.00000000e+00, -6.74642774e+00, 0.0000000000, 6910.9506184302, 0.0475158169
          52, -3.27035374e+03, 0.00000000e+00, 0.00000000e+00, -6.75437612e+00, 0.0000000000, 5961.5087871998, 0.0484186355
          53, -3.17893982e+03, 0.00000000e+00, 0.00000000e+00, -6.79051647e+00, 0.0000000000, 6049.4361397919, 0.0493221778
          54, -3.10851015e+03, 0.00000000e+00, 0.00000000e+00, -6.77117749e+00, 0.0000000000, 6465.8730992855, 0.0502169911
          55, -3.14855694e+03, 0.00000000e+00, 0.00000000e+00, -6.74090147e+00, 0.0000000000, 6184.2665118127, 0.0511162105
          56, -3.17598243e+03, 0.00000000e+00, 0.00000000e+00, -6.75962690e+00, 0.0000000000, 5767.8262772294, 0.0520120315
