Conservative_1;Points:0;
1,3151;5,00E-06;394,53
1,3151;5,12E-06;394,53
1,3151;5,50E-06;394,53
1,3151;6,12E-06;394,53
1,315;6,99E-06;394,5
1,315;8,11E-06;394,5
1,315;9,48E-06;394,5
1,3151;1,11E-05;394,53
1,3151;1,30E-05;394,53
1,3151;1,51E-05;394,53
1,3151;1,74E-05;394,53
1,3151;2,00E-05;394,53
1,3151;2,29E-05;394,53
1,3151;2,60E-05;394,53
1,3152;2,93E-05;394,56
1,3152;3,29E-05;394,56
1,3152;3,67E-05;394,56
1,3153;4,08E-05;394,59
1,3153;4,51E-05;394,59
1,3153;4,96E-05;394,59
1,3154;5,44E-05;394,62
1,3154;5,95E-05;394,62
1,3155;6,47E-05;394,65
1,3155;7,02E-05;394,65
1,3156;7,59E-05;394,68
1,3156;8,19E-05;394,68
1,3157;8,81E-05;394,71
1,3157;9,45E-05;394,71
1,3158;0,00010112;394,74
1,3158;0,00010798;394,74
1,3159;0,00011507;394,77
1,316;0,00012238;394,8
1,316;0,00012991;394,8
1,3161;0,00013766;394,83
1,3162;0,00014563;394,86
1,3162;0,00015381;394,86
1,3163;0,0001622;394,89
1,3164;0,0001708;394,92
1,3165;0,00017961;394,95
1,3166;0,00018862;394,98
1,3166;0,00019784;394,98
1,3167;0,00020726;395,01
1,3168;0,00021688;395,04
1,3169;0,0002267;395,07
1,317;0,00023671;395,1
1,3171;0,00024691;395,13
1,3172;0,0002573;395,16
1,3173;0,00026787;395,19
1,3174;0,00027863;395,22
1,3175;0,00028957;395,25
1,3176;0,00030069;395,28
1,3177;0,00031198;395,31
1,3178;0,00032345;395,34
1,318;0,00033509;395,4
1,3181;0,00034689;395,43
1,3182;0,00035886;395,46
1,3183;0,00037099;395,49
1,3184;0,00038327;395,52
1,3186;0,00039572;395,58
1,3187;0,00040831;395,61
1,3188;0,00042105;395,64
1,319;0,00043394;395,7
1,3191;0,00044697;395,73
1,3193;0,00046014;395,79
1,3194;0,00047345;395,82
1,3196;0,00048688;395,88
1,3197;0,00050045;395,91
1,3199;0,00051414;395,97
1,32;0,00052796;396
1,3202;0,00054189;396,06
1,3204;0,00055594;396,12
1,3205;0,0005701;396,15
1,3207;0,00058437;396,21
1,3209;0,00059874;396,27
1,3211;0,00061322;396,33
1,3212;0,00062779;396,36
1,3214;0,00064246;396,42
1,3216;0,00065722;396,48
1,3218;0,00067206;396,54
1,322;0,00068699;396,6
1,3222;0,00070199;396,66
1,3224;0,00071708;396,72
1,3226;0,00073223;396,78
1,3228;0,00074745;396,84
1,323;0,00076274;396,9
1,3233;0,00077808;396,99
1,3235;0,00079349;397,05
1,3237;0,00080894;397,11
1,3239;0,00082445;397,17
1,3242;0,00084;397,26
1,3244;0,00085559;397,32
1,3246;0,00087121;397,38
1,3249;0,00088687;397,47
1,3251;0,00090257;397,53
1,3254;0,00091828;397,62
1,3256;0,00093402;397,68
1,3258;0,00094977;397,74
1,3261;0,00096554;397,83
1,3264;0,00098132;397,92
1,3266;0,00099711;397,98
1,3269;0,0010129;398,07
1,3271;0,0010287;398,13
1,3274;0,0010445;398,22
1,3277;0,0010602;398,31
1,3279;0,001076;398,37
1,3282;0,0010917;398,46
1,3284;0,0011074;398,52
1,3287;0,0011231;398,61
1,329;0,0011388;398,7
1,3292;0,0011544;398,76
1,3295;0,00117;398,85
1,3298;0,0011856;398,94
1,33;0,0012011;399
1,3303;0,0012165;399,09
1,3305;0,0012319;399,15
1,3308;0,0012473;399,24
1,331;0,0012625;399,3
1,3313;0,0012778;399,39
1,3315;0,0012929;399,45
1,3318;0,001308;399,54
1,332;0,001323;399,6
1,3322;0,0013379;399,66
1,3324;0,0013528;399,72
1,3327;0,0013675;399,81
1,3329;0,0013822;399,87
1,3331;0,0013968;399,93
1,3333;0,0014113;399,99
1,3336;0,0014256;400,08
1,3338;0,0014399;400,14
1,334;0,0014541;400,2
1,3342;0,0014681;400,26
1,3344;0,001482;400,32
1,3346;0,0014959;400,38
1,3348;0,0015095;400,44
1,3349;0,0015231;400,47
1,3351;0,0015366;400,53
1,3352;0,0015499;400,56
1,3354;0,001563;400,62
1,3355;0,0015761;400,65
1,3356;0,0015889;400,68
1,3356;0,0016017;400,68
1,3357;0,0016143;400,71
1,3357;0,0016267;400,71
1,3357;0,001639;400,71
1,3358;0,0016511;400,74
1,3358;0,0016631;400,74
1,3358;0,0016749;400,74
1,3357;0,0016865;400,71
1,3357;0,001698;400,71
1,3357;0,0017093;400,71
1,3357;0,0017204;400,71
1,3357;0,0017314;400,71
1,3357;0,0017421;400,71
1,3358;0,0017527;400,74
1,3358;0,0017631;400,74
1,3358;0,0017733;400,74
1,3358;0,0017833;400,74
1,3359;0,0017931;400,77
1,3359;0,0018027;400,77
1,3359;0,0018122;400,77
1,336;0,0018214;400,8
1,336;0,0018304;400,8
1,336;0,0018392;400,8
1,3361;0,0018478;400,83
1,3361;0,0018562;400,83
1,3361;0,0018644;400,83
1,3361;0,0018723;400,83
1,336;0,0018801;400,8
1,336;0,0018876;400,8
1,336;0,0018949;400,8
1,3359;0,001902;400,77
1,3359;0,0019089;400,77
1,3358;0,0019155;400,74
1,3357;0,0019219;400,71
1,3356;0,0019281;400,68
1,3355;0,0019341;400,65
1,3355;0,0019398;400,65
1,3354;0,0019453;400,62
1,3353;0,0019505;400,59
1,3352;0,0019556;400,56
1,3351;0,0019604;400,53
1,335;0,0019649;400,5
1,3349;0,0019692;400,47
1,3348;0,0019733;400,44
1,3348;0,0019771;400,44
1,3347;0,0019807;400,41
1,3346;0,001984;400,38
1,3345;0,0019871;400,35
1,3345;0,00199;400,35
1,3344;0,0019926;400,32
1,3343;0,0019949;400,29
1,3343;0,001997;400,29
1,3342;0,0019989;400,26
1,3342;0,0020005;400,26
1,3342;0,0020019;400,26
1,3341;0,002003;400,23
1,3341;0,0020039;400,23
1,3341;0,0020045;400,23
1,3341;0,0020049;400,23
1,3341;0,002005;400,23
